"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016- 03- 03","199.78","198.79","199.79","198.11","95.17M","0.39%"
"2016- 03- 02","199.00","197.74","199.06","197.25","102.41M","0.45%"
"2016- 03- 01","198.11","195.01","198.21","194.45","141.80M","2.35%"
"2016- 02- 29","193.56","195.11","196.23","193.33","125.92M","-0.78%"
"2016- 02- 26","195.09","196.57","196.68","194.90","129.83M","-0.23%"
"2016- 02- 25","195.54","193.73","195.55","192.83","110.73M","1.21%"
"2016- 02- 24","193.20","190.63","193.53","189.32","150.81M","0.46%"
"2016- 02- 23","192.32","194.00","194.32","192.18","111.46M","-1.26%"
"2016- 02- 22","194.78","193.87","194.95","193.79","103.64M","1.45%"
"2016- 02- 19","192.00","191.17","192.18","190.45","114.79M","-0.05%"
"2016- 02- 18","192.09","193.20","193.27","191.72","102.34M","-0.41%"
"2016- 02- 17","192.88","191.16","193.32","191.01","136.01M","1.63%"
"2016- 02- 16","189.78","188.77","189.81","187.63","120.25M","1.69%"
"2016- 02- 12","186.63","184.96","186.65","183.96","127.63M","2.06%"
"2016- 02- 11","182.86","182.34","184.10","181.09","219.06M","-1.30%"
"2016- 02- 10","185.27","186.41","188.34","185.12","148.21M","-0.09%"
"2016- 02- 09","185.43","183.36","186.94","183.20","184.51M","0.01%"
"2016- 02- 08","185.42","185.77","186.12","182.80","191.53M","-1.35%"
"2016- 02- 05","187.95","190.99","191.67","187.20","180.79M","-1.91%"
"2016- 02- 04","191.60","190.71","192.75","189.96","139.53M","0.16%"
"2016- 02- 03","191.30","191.41","191.78","187.10","205.05M","0.60%"
"2016- 02- 02","190.16","191.96","191.97","189.54","182.56M","-1.80%"
"2016- 02- 01","193.65","192.53","194.58","191.84","136.06M","-0.04%"
"2016- 01- 29","193.72","190.02","193.88","189.88","210.53M","2.44%"
"2016- 01- 28","189.11","189.96","190.20","187.16","143.80M","0.52%"
"2016- 01- 27","188.13","189.58","191.56","187.06","185.68M","-1.09%"
"2016- 01- 26","190.20","188.42","190.53","188.02","141.04M","1.36%"
"2016- 01- 25","187.64","189.92","190.15","187.41","130.37M","-1.51%"
"2016- 01- 22","190.52","189.78","190.76","188.88","168.32M","2.05%"
"2016- 01- 21","186.69","186.21","188.87","184.64","195.77M","0.56%"
"2016- 01- 20","185.65","185.03","187.50","181.02","286.55M","-1.28%"
"2016- 01- 19","188.06","189.96","190.11","186.20","195.24M","0.13%"
"2016- 01- 15","187.81","186.77","188.76","185.52","324.85M","-2.15%"
"2016- 01- 14","191.93","189.55","193.26","187.66","240.80M","1.64%"
"2016- 01- 13","188.83","194.45","194.86","188.38","221.17M","-2.49%"
"2016- 01- 12","193.66","193.82","194.55","191.14","172.33M","0.81%"
"2016- 01- 11","192.11","193.01","193.41","189.82","187.94M","0.10%"
"2016- 01- 08","191.92","195.19","195.85","191.58","209.82M","-1.10%"
"2016- 01- 07","194.05","195.33","197.44","193.59","213.44M","-2.40%"
"2016- 01- 06","198.82","198.34","200.06","197.60","152.11M","-1.26%"
"2016- 01- 05","201.36","201.40","201.90","200.05","110.85M","0.17%"
"2016- 01- 04","201.02","200.49","201.03","198.59","222.35M","-1.40%"
"2015- 12- 31","203.87","205.13","205.89","203.87","114.88M","-1.00%"
"2015- 12- 30","205.93","207.11","207.21","205.76","63.32M","-0.71%"
"2015- 12- 29","207.40","206.51","207.79","206.47","92.64M","1.07%"
"2015- 12- 28","205.21","204.86","205.26","203.94","65.90M","-0.23%"
"2015- 12- 24","205.68","205.72","206.33","205.42","48.54M","-0.17%"
"2015- 12- 23","206.02","204.69","206.07","204.58","110.99M","1.24%"
"2015- 12- 22","203.50","202.72","203.85","201.55","111.03M","0.91%"
"2015- 12- 21","201.67","201.41","201.88","200.09","99.09M","0.82%"
"2015- 12- 18","200.02","202.77","202.93","199.83","251.39M","-2.36%"
"2015- 12- 17","204.86","208.40","208.48","204.84","173.09M","-1.52%"
"2015- 12- 16","208.03","206.37","208.39","204.80","197.02M","1.46%"
"2015- 12- 15","205.03","204.70","206.11","202.87","154.07M","1.05%"
"2015- 12- 14","202.90","202.07","203.05","199.95","182.39M","0.51%"
"2015- 12- 11","201.88","203.35","204.14","201.51","211.17M","-1.94%"
"2015- 12- 10","205.87","205.42","207.43","205.14","116.13M","0.26%"
"2015- 12- 09","205.34","206.19","208.68","204.18","162.40M","-0.78%"
"2015- 12- 08","206.95","206.49","208.29","205.78","103.37M","-0.67%"
"2015- 12- 07","208.35","209.23","209.73","207.20","102.03M","-0.61%"
"2015- 12- 04","209.62","206.08","209.97","205.93","192.91M","1.95%"
"2015- 12- 03","205.61","208.83","209.15","204.75","166.22M","-1.40%"
"2015- 12- 02","208.53","210.62","211.00","208.23","108.44M","-1.02%"
"2015- 12- 01","210.68","209.44","210.82","209.11","97.86M","0.95%"
"2015- 11- 30","208.69","209.75","209.89","208.56","112.82M","-0.42%"
"2015- 11- 27","209.56","209.43","209.80","208.86","37.32M","0.11%"
"2015- 11- 25","209.32","209.50","209.74","209.01","51.98M","-0.01%"
"2015- 11- 24","209.35","207.87","209.83","207.41","98.87M","0.13%"
"2015- 11- 23","209.07","209.38","209.98","208.52","64.93M","-0.11%"
"2015- 11- 20","209.31","209.45","210.12","208.86","94.01M","0.36%"
"2015- 11- 19","208.55","208.59","209.05","208.20","88.22M","-0.09%"
"2015- 11- 18","208.73","206.04","208.90","205.99","121.34M","1.59%"
"2015- 11- 17","205.47","205.99","207.04","204.88","121.12M","-0.07%"
"2015- 11- 16","205.62","202.32","205.69","202.18","117.65M","1.52%"
"2015- 11- 13","202.54","204.35","204.67","202.44","153.58M","-1.12%"
"2015- 11- 12","204.84","206.50","207.06","204.82","121.32M","-1.40%"
"2015- 11- 11","207.74","208.88","208.94","207.66","67.85M","-0.39%"
"2015- 11- 10","208.56","207.51","208.60","207.19","75.87M","0.23%"
"2015- 11- 09","208.08","209.31","209.49","206.95","131.01M","-0.93%"
"2015- 11- 06","210.04","209.74","210.32","208.46","110.47M","-0.05%"
"2015- 11- 05","210.15","210.43","210.98","209.09","78.41M","-0.10%"
"2015- 11- 04","210.36","211.35","211.50","209.72","96.22M","-0.30%"
"2015- 11- 03","211.00","209.97","211.66","209.70","95.25M","0.29%"
"2015- 11- 02","210.39","208.32","210.62","208.17","86.27M","1.18%"
"2015- 10- 30","207.93","209.06","209.44","207.74","131.08M","-0.43%"
"2015- 10- 29","208.83","208.35","209.27","208.21","90.53M","-0.06%"
"2015- 10- 28","208.95","207.00","208.98","206.21","135.91M","1.14%"
"2015- 10- 27","206.60","206.20","207.00","205.79","77.91M","-0.19%"
"2015- 10- 26","207.00","207.30","207.37","206.56","69.03M","-0.25%"
"2015- 10- 23","207.51","207.25","207.95","206.30","144.44M","1.10%"
"2015- 10- 22","205.26","202.98","205.51","201.85","174.91M","1.69%"
"2015- 10- 21","201.85","203.61","203.79","201.65","102.04M","-0.62%"
"2015- 10- 20","203.11","202.85","203.84","202.55","78.45M","-0.13%"
"2015- 10- 19","203.37","202.50","203.37","202.13","76.52M","0.05%"
"2015- 10- 16","203.27","202.83","203.29","201.92","114.58M","0.45%"
"2015- 10- 15","202.35","200.08","202.36","199.64","134.14M","1.54%"
"2015- 10- 14","199.29","200.18","200.87","198.94","99.11M","-0.48%"
"2015- 10- 13","200.25","200.65","202.16","200.05","88.04M","-0.63%"
"2015- 10- 12","201.52","201.42","201.76","200.91","56.40M","0.09%"
"2015- 10- 09","201.33","201.38","201.90","200.58","107.07M","0.06%"
"2015- 10- 08","201.21","198.95","201.55","198.59","153.06M","0.90%"
"2015- 10- 07","199.41","198.90","199.82","197.48","124.31M","0.82%"
"2015- 10- 06","197.79","198.31","198.98","197.00","110.27M","-0.34%"
"2015- 10- 05","198.47","196.46","198.74","196.33","126.32M","1.78%"
"2015- 10- 02","195.00","189.77","195.03","189.12","211.00M","1.49%"
"2015- 10- 01","192.13","192.08","192.49","189.82","131.08M","0.26%"
